Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2
PENNSYLVANIA,2019,6,1,,8,,10,,7,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH CAROLINA,2019,6,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MOUNTAIN,2019,6,,-,4,,5,,9,,,-,0,,,-,,-,,-,1,,1,,,-,,MOUNTAIN
COLORADO,2019,6,,-,3,,2,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
OHIO,2019,6,3,,4,,6,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MICHIGAN,2019,6,,-,3,,,-,5,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2019,6,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IOWA,2019,6,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WYOMING,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW HAMPSHIRE,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2019,6,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WEST NORTH CENTRAL,2019,6,,-,5,,4,,7,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL
INDIANA,2019,6,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2019,6,,-,3,,1,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VIRGINIA,2019,6,,-,5,,5,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
HAWAII,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW JERSEY,2019,6,,-,6,,5,,10,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TOTAL,2019,6,12,,53,,100,,130,,1,,9,,13,,7,,4,,18,,21,,6,,,TOTAL
AMERICAN SAMOA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
ARKANSAS,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
NORTH CAROLINA,2019,6,,-,4,,1,,4,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2019,6,1,,4,,6,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
US RESIDENTS,2019,6,12,,53,,100,,130,,1,,9,,13,,7,,4,,18,,21,,6,,,US RESIDENTS
OKLAHOMA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2019,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
PACIFIC,2019,6,,-,8,,9,,11,,,-,3,,2,,2,,,-,3,,4,,,-,,PACIFIC
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEVADA,2019,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MARYLAND,2019,6,5,,9,,20,,21,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MIDDDLE ATLANTIC,2019,6,3,,24,,32,,35,,1,,9,,8,,,-,4,,16,,16,,2,,,MIDDDLE ATLANTIC
MAINE,2019,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
DELAWARE,2019,6,,-,3,,5,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
EAST SOUTH CENTRAL,2019,6,,-,4,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL
ALASKA,2019,6,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2019,6,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2019,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DISTRICT OF COLUMBIA,2019,6,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALABAMA,2019,6,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2019,6,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PACIFIC,2019,7,,-,8,,9,,13,,,-,3,,2,,2,,,-,3,,4,,,-,,PACIFIC
VIRGINIA,2019,7,3,,5,,8,,4,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TOTAL,2019,7,8,,53,,120,,149,,1,,9,,25,,7,,5,,18,,27,,8,,,TOTAL
UTAH,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TEXAS,2019,7,,-,5,,1,,2,,1,,5,,7,,5,,,-,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
SOUTH ATLANTIC,2019,7,4,,21,,41,,49,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC
PENNSYLVANIA,2019,7,,-,8,,11,,11,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
EAST NORTH CENTRAL,2019,7,1,,7,,8,,18,,,-,1,,1,,,-,,-,4,,1,,2,,,EAST NORTH CENTRAL
COLORADO,2019,7,,-,3,,3,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
US RESIDENTS,2019,7,8,,53,,120,,149,,1,,9,,25,,7,,5,,18,,27,,8,,,US RESIDENTS
MIDDDLE ATLANTIC,2019,7,3,,24,,39,,41,,,-,9,,13,,,-,5,,16,,21,,2,,,MIDDDLE ATLANTIC
WEST SOUTH CENTRAL,2019,7,,-,5,,2,,4,,1,,5,,7,,5,,,-,1,,,-,3,,,WEST SOUTH CENTRAL
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2019,7,2,,4,,5,,6,,,-,1,,1,,,-,5,,14,,16,,,-,"NEW YORK
(42.826892, -75.544286)",
NEW MEXICO,2019,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2019,7,,-,2,,,-,2,,,-,2,,2,,2,,,-,1,,2,,,-,"OREGON
(44.567912, -120.156945)",
MICHIGAN,2019,7,,-,3,,1,,5,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2019,7,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MOUNTAIN,2019,7,,-,4,,6,,9,,,-,0,,,-,,-,,-,1,,1,,,-,,MOUNTAIN
CALIFORNIA,2019,7,,-,5,,8,,7,,,-,3,,,-,,-,,-,2,,2,,,-,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ARIZONA,2019,7,,-,3,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
VERMONT,2019,7,,-,1,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DISTRICT OF COLUMBIA,2019,7,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2019,7,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2019,7,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2019,7,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
NEW HAMPSHIRE,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEVADA,2019,7,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2019,7,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
CONNECTICUT,2019,7,,-,1,,,-,1,,,-,2,,2,,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2019,7,1,,4,,6,,6,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
INDIANA,2019,7,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2019,7,,-,3,,2,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KANSAS,2019,7,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,1,,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2019,7,,-,4,,1,,4,,,-,1,,1,,,-,,-,1,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
GEORGIA,2019,7,,-,5,,,-,5,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MASSACHUSETTS,2019,7,,-,4,,7,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2019,7,,-,3,,5,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NORTH CAROLINA,2019,7,,-,4,,5,,5,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2019,7,,-,6,,5,,11,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
AMERICAN SAMOA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NEBRASKA,2019,7,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
FLORIDA,2019,7,,-,4,,,-,5,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
EAST SOUTH CENTRAL,2019,7,,-,4,,2,,2,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL
MARYLAND,2019,7,1,,9,,21,,26,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WASHINGTON,2019,7,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW ENGLAND,2019,7,,-,5,,8,,5,,,-,2,,2,,,-,,-,1,,,-,,-,,NEW ENGLAND
KENTUCKY,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2019,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2019,7,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2019,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
IOWA,2019,7,,-,2,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALABAMA,2019,7,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WEST NORTH CENTRAL,2019,7,,-,5,,5,,8,,,-,5,,,-,,-,,-,6,,,-,1,,,WEST NORTH CENTRAL
HAWAII,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2019,7,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK CITY,2019,7,1,,11,,18,,13,,,-,9,,12,,,-,,-,2,,4,,,-,,NEW YORK CITY
COLORADO,2019,8,,-,3,,3,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
INDIANA,2019,8,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
OHIO,2019,8,,-,4,,6,,6,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MARYLAND,2019,8,,-,9,,22,,31,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
AMERICAN SAMOA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
MASSACHUSETTS,2019,8,,-,4,,7,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST SOUTH CENTRAL,2019,8,,-,5,,2,,4,,,-,5,,7,,5,,,-,1,,,-,3,,,WEST SOUTH CENTRAL
MIDDDLE ATLANTIC,2019,8,1,,24,,40,,42,,,-,11,,32,,,-,,-,16,,22,,2,,,MIDDDLE ATLANTIC
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2019,8,,-,3,,1,,5,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
US RESIDENTS,2019,8,3,,55,,128,,160,,,-,13,,46,,9,,2,,18,,31,,8,,,US RESIDENTS
NEW JERSEY,2019,8,,-,6,,5,,11,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2019,8,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2019,8,1,,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,2,,0,,2,,,-,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2019,8,,-,4,,5,,5,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST NORTH CENTRAL,2019,8,,-,5,,5,,8,,,-,5,,,-,2,,,-,6,,,-,1,,,WEST NORTH CENTRAL
EAST NORTH CENTRAL,2019,8,,-,7,,8,,19,,,-,1,,2,,,-,,-,4,,1,,2,,,EAST NORTH CENTRAL
FLORIDA,2019,8,,-,4,,,-,6,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2019,8,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2019,8,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NORTH DAKOTA,2019,8,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2019,8,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CALIFORNIA,2019,8,,-,5,,9,,7,,,-,3,,,-,,-,,-,2,,3,,,-,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TEXAS,2019,8,,-,5,,1,,2,,,-,5,,7,,5,,,-,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
NEW YORK CITY,2019,8,,-,11,,18,,13,,,-,11,,31,,,-,,-,2,,5,,,-,,NEW YORK CITY
OREGON,2019,8,,-,2,,,-,2,,,-,3,,3,,2,,,-,1,,2,,,-,"OREGON
(44.567912, -120.156945)",
ARIZONA,2019,8,,-,3,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2019,8,,-,4,,2,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2019,8,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VIRGINIA,2019,8,1,,5,,10,,4,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
DISTRICT OF COLUMBIA,2019,8,,-,2,,2,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2019,8,1,,4,,6,,6,,,-,1,,1,,,-,,-,14,,16,,,-,"NEW YORK
(42.826892, -75.544286)",
IOWA,2019,8,,-,2,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
EAST SOUTH CENTRAL,2019,8,,-,4,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL
VERMONT,2019,8,,-,1,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2019,8,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
CONNECTICUT,2019,8,,-,1,,,-,1,,,-,2,,2,,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DELAWARE,2019,8,,-,3,,5,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
GEORGIA,2019,8,,-,5,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2019,8,,-,8,,11,,12,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
PUERTO RICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH ATLANTIC,2019,8,1,,21,,44,,58,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC
TENNESSEE,2019,8,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PACIFIC,2019,8,,-,8,,12,,13,,,-,3,,3,,2,,,-,3,,5,,,-,,PACIFIC
TOTAL,2019,8,3,,55,,128,,160,,,-,13,,46,,9,,2,,18,,31,,8,,,TOTAL
ALABAMA,2019,8,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW ENGLAND,2019,8,1,,5,,9,,6,,,-,2,,2,,,-,,-,1,,,-,,-,,NEW ENGLAND
MOUNTAIN,2019,8,,-,4,,6,,9,,,-,0,,,-,,-,2,,1,,3,,,-,,MOUNTAIN
RHODE ISLAND,2019,8,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2019,8,,-,3,,2,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2019,8,,-,4,,1,,5,,,-,1,,2,,,-,,-,1,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2019,8,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2019,8,,-,2,,1,,2,,,-,5,,,-,2,,,-,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
MONTANA,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2019,9,,-,4,,5,,5,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
IOWA,2019,9,,-,2,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2019,9,,-,4,,2,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
